"Sl No","Job Number","Start Date","End Date","Name of Work",Ward,Office,"Budget Head",Contractor,Mobile,Email,"Bill Type","Order Number","Order Date","SBR Number","SBR Date","BR Number","BR Date","CBR Number","CBR Date",Payment,Gross,"Gross In words",Deduction,"Deduction in words",Nett,"Nett in words"
1,012-19-000037,01-Jul-2022,30-Jul-2022,"Maintenance of Parks in ward no 12","o012 Shettihalli","Executive Engineer Dasarahalli","P3375 Maintenance of BBMP Parks New Zones","023534 RNIENTERPRISES",9448354105,,"First and Final",000065,30-Jun-2022,000021,18-Nov-2022,000098,18-Nov-2022,,"           ","Under Process in Addl. Commr. Finance",943367,"Nine Lakh Fourty Three Thousand Three Hundred Sixty Seven",117692,"One Lakh Seventeen Thousand Six Hundred Ninety Two",825675,"Eight Lakh Twenty Five Thousand Six Hundred Seventy Five"
2,012-22-000008,29-Jun-2022,26-Sep-2022,"Repairing work Range office Building, removal of debries and providing new precast RCC covering slabs desilting of drains in ward no.12 Shettyhalli","o012 Shettihalli","Executive Engineer Dasarahalli","P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards","032359 SHIVANANDA N",9901829745,,"First and Final",000036,26-Jun-2022,000019,10-Nov-2022,000095,15-Nov-2022,,"           ","Under Process in Addl. Commr. Finance",3592285,"Thirty Five Lakh Ninety Two Thousand Two Hundred Eighty Five",139586,"One Lakh Thirty Nine Thousand Five Hundred Eighty Six",3452699,"Thirty Four Lakh Fifty Two Thousand Six Hundred Ninety Nine"
3,012-22-000002,30-May-2022,27-Jul-2022,"Replacement of Burntout UG Cable,Panels boards and its accessories  coming under Dasarahalli Zone  Ward 12,13,14,15 ","o012 Shettihalli","Executive Engineer Electricial Dasarahalli Zone","P0973 Lighting of Parks, Toilet Amenities","027709 CHETHAN ENTERPRISES ",8660083743,,"First and Final",000020,30-May-2022,000033,29-Sep-2022,000033,29-Sep-2022,,"           ","Under Process in Addl. Commr. Finance",352246,"Three Lakh Fifty Two Thousand Two Hundred Fourty Six",13686,"Thirteen Thousand Six Hundred Eighty Six",338560,"Three Lakh Thirty Eight Thousand Five Hundred Sixty "
4,012-22-000003,30-May-2022,27-Jul-2022,"Replacement of Burntout UG Cable,Panels boards and its accessories coming under Dasarahalli Zone Ward 12,13,14,15","o012 Shettihalli","Executive Engineer Electricial Dasarahalli Zone","P0298 M and R to Electrical Installations in Parks and Gardens, Playgrounds, Burial Grounds","027709 CHETHAN ENTERPRISES ",8660083743,,"First and Final",000022,30-May-2022,000031,29-Sep-2022,000031,29-Sep-2022,,"           ","Under Process in Addl. Commr. Finance",297285,"Two Lakh Ninety Seven Thousand Two Hundred Eighty Five",11551,"Eleven Thousand Five Hundred Fifty One",285734,"Two Lakh Eighty Five Thousand Seven Hundred Thirty Four"
5,012-22-000009,21-May-2022,19-Jul-2022,"Providing LED Street lights/Poles/Control switches/control wires at Dark/volernabal places in Ward no 12","o012 Shettihalli","Executive Engineer Electricial Dasarahalli Zone","P1828 Provision of Additional Fittings Streetlights","023038 CIVIL QUALITY CONSUL",9886998316,,Running,000016,21-May-2022,000015,02-Sep-2022,000015,02-Sep-2022,,"           ","Under Process in EE (Acts. Supdt.)",119410,"One Lakh Nineteen Thousand Four Hundred Ten",11941,"Eleven Thousand Nine Hundred Fourty One",107469,"One Lakh Seven Thousand Four Hundred Sixty Nine"
6,012-18-000016,20-May-2022,30-Jun-2022,"Improvements to drain and Asphalting to Shettyhalli  Area in ward no 12 Shettyhalli Sub Division","o012 Shettihalli","Executive Engineer Dasarahalli","P0190 Works sanctioned by Hon Mayor","024347 CKG CONSTRUCTIONS PV",9448158379,,"First and Final",000012,19-May-2022,000014,17-Sep-2022,,"           ",,"           ","Under Process in Executive Engineer",10810230,"One Crore Eight Lakh Ten Thousand Two Hundred Thirty ",0,,0,
7,012-18-000018,09-May-2022,30-Jun-2022,"De-silting and Re-setting of drain and Re asphalting of roads to Chikkasandra Area in ward no 12 Shettyhalli Sub Division.","o012 Shettihalli","Executive Engineer Dasarahalli","P0190 Works sanctioned by Hon Mayor","024347 CKG CONSTRUCTIONS PV",9448158379,,"First and Final",000005,08-May-2022,000015,17-Sep-2022,000078,19-Sep-2022,,"           ","Under Process in Addl. Commr. Finance",10767248,"One Crore Seven Lakh Sixty Seven Thousand Two Hundred Fourty Eight",854488,"Eight Lakh Fifty Four Thousand Four Hundred Eighty Eight",9912760,"Ninety Nine Lakh Twelve Thousand Seven Hundred Sixty "
8,012-22-000009,05-May-2022,21-Jul-2022,"Providing LED Street lights/Poles/Control switches/control wires at Dark/volernabal places in Ward no 12","o012 Shettihalli","Executive Engineer Electricial Dasarahalli Zone","P1828 Provision of Additional Fittings Streetlights","026383 VEDHA ELECTRICALS",9448384790,,"Second and Final",000012,05-May-2022,000017,03-Sep-2022,000017,03-Sep-2022,,"           ","Under Process in Addl. Commr. Finance",24137069,"Two Crore Fourty One Lakh Thirty Seven Thousand Sixty Nine",937899,"Nine Lakh Thirty Seven Thousand Eight Hundred Ninety Nine",23199170,"Two Crore Thirty One Lakh Ninety Nine Thousand One Hundred Seventy "
9,012-22-000004,01-Feb-2023,28-Feb-2023,"Annual Maintenance of street lights package D-1 in Kammagondanhalli Surrounding Area ward no 12","o012 Shettihalli","Executive Engineer Electricial Dasarahalli Zone","P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package)","002481 CHETHAN ELECTRICALS ",9986319631,,Running,000001,04-Apr-2022,000074,14-Mar-2023,000074,14-Mar-2023,,"           ","Under Process in Addl. Commr. Finance",366497,"Three Lakh Sixty Six Thousand Four Hundred Ninety Seven",22823,"Twenty Two Thousand Eight Hundred Twenty Three",343674,"Three Lakh Fourty Three Thousand Six Hundred Seventy Four"
10,012-22-000005,01-Feb-2023,28-Feb-2023,"Annual Maintanance of street lights package D-2 in Shettyhalli Surrounding Area ward no 12","o012 Shettihalli","Executive Engineer Electricial Dasarahalli Zone","P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package)","002481 CHETHAN ELECTRICALS ",9986319631,,Running,000002,04-Apr-2022,000075,14-Mar-2023,000075,14-Mar-2023,,"           ","Under Process in Addl. Commr. Finance",334546,"Three Lakh Thirty Four Thousand Five Hundred Fourty Six",21308,"Twenty One Thousand Three Hundred Eight",313238,"Three Lakh Thirteen Thousand Two Hundred Thirty Eight"
