"Sl No","Job Number","Start Date","End Date","Name of Work",Ward,Office,"Budget Head",Contractor,Mobile,Email,"Bill Type","Order Number","Order Date","SBR Number","SBR Date","BR Number","BR Date","CBR Number","CBR Date",Payment,Gross,"Gross In words",Deduction,"Deduction in words",Nett,"Nett in words"
1,198-23-000003,18-Aug-2022,26-Sep-2022,"Consultancy service for Construction supervision, project management and Quality Control (PMC) for the work of Improvements to roads drains in Nanjappa Layout, RV Layout, Madekeswamy Road, Hemmigepura, Thalaghattapura surrounding areas and balance works in Indoor Badminton court, Sanitary lines manholes in Hemmigepura ward No-198","o198 Hemmigepura","Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone","P2415 Reserve fund for TandF Committee","NEWZEN CONSULTANTS B",8792620231,,"First and Final",000035,18-Aug-2022,000094,11-Jan-2023,000181,20-Jan-2023,,"           ","Under Process in Addl. Commr. Finance",195000,"One Lakh Ninety Five Thousand ",19500,"Nineteen Thousand Five Hundred ",175500,"One Lakh Seventy Five Thousand Five Hundred "
2,198-21-000002,01-Jul-2022,28-Dec-2022,"Construction of Community Hall near Sri Prasanna Someshwara swamy Temple in forot area, Kengeri in ward no 198 Hemmigepura","o198 Hemmigepura","Executive Engineer (Project) Rajarajeshwari Nagar Zone","P3075 Special comprehensive development works in Bangalore city (Bangalore city in charge Minister Discretionary Grants)","023788 NAVEEN S",9731114337,,"First and Final",000008,01-Jul-2022,000033,23-Jan-2023,000037,24-Jan-2023,,"           ","Under Process in Addl. Commr. Finance",4948981,"Fourty Nine Lakh Fourty Eight Thousand Nine Hundred Eighty One",440957,"Four Lakh Fourty  Thousand Nine Hundred Fifty Seven",4508024,"Fourty Five Lakh Eight Thousand Twenty Four"
3,198-23-000003,28-Jun-2022,29-Jul-2022,"Improvements to  roads, drains in Nanjappa layout, RV Layout, Madekeswamy road, Hemmigepura, Thalaghattapura surrounding areas and balance works in Indoor Badminton court, Sanitary lines manholes in Hemmigepura ward No-198.","o198 Hemmigepura","Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone","P2415 Reserve fund for TandF Committee","022255 RAMALINGU",9980573052,,"First and Final",000032,28-Jun-2022,000081,07-Nov-2022,000150,08-Nov-2022,,"           ","Under Process in Addl. Commr. Finance",19587184,"One Crore Ninety Five Lakh Eighty Seven Thousand One Hundred Eighty Four",1668784,"Sixteen Lakh Sixty Eight Thousand Seven Hundred Eighty Four",17918400,"One Crore Seventy Nine Lakh Eighteen Thousand Four Hundred "
4,198-22-000009,17-May-2022,08-Aug-2022,"Providing street lights with allied accessories in Ward no-198, of RR Nagar zone.","o198 Hemmigepura","Executive Engineer (Electrical) Rajarajeshwari Nagar Zone","P1828 Provision of Additional Fittings Streetlights","026388 GEETHA ELECTRICAL ST",8088811101,,"Second and Final",000040,17-May-2022,000200,30-Mar-2023,000200,30-Mar-2023,,"           ","Under Process in TVCC Chief Engineer",3702521,"Thirty Seven Lakh Two Thousand Five Hundred Twenty One",145390,"One Lakh Fourty Five Thousand Three Hundred Ninety ",3557131,"Thirty Five Lakh Fifty Seven Thousand One Hundred Thirty One"
5,198-22-000009,17-May-2022,30-Jun-2022,"Providing street lights with allied accessories in Ward no-198, of RR Nagar zone.","o198 Hemmigepura","Executive Engineer (Electrical) Rajarajeshwari Nagar Zone","P1828 Provision of Additional Fittings Streetlights","026388 GEETHA ELECTRICAL ST",8088811101,,Running,000040,17-May-2022,000083,26-Sep-2022,000083,26-Sep-2022,,"           ","Under Process in Addl. Commr. Finance",20455392,"Two Crore Four Lakh Fifty Five Thousand Three Hundred Ninety Two",999391,"Nine Lakh Ninety Nine Thousand Three Hundred Ninety One",19456001,"One Crore Ninety Four Lakh Fifty Six Thousand One"
6,198-22-000008,01-Apr-2022,31-Mar-2023,"Operation and maintenance of street lighting system in ward no-198,  (P-Pattanagere) Package R19 of Rajarajeshwari Nagar Zone for the Year 2021-22","o198 Hemmigepura","Executive Engineer (Electrical) Rajarajeshwari Nagar Zone","P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package)","026388 GEETHA ELECTRICAL ST",8088811101,,Running,000017,05-Apr-2022,000194,17-Mar-2023,000194,17-Mar-2023,,"           ","Under Process in Addl. Commr. Finance",360505,"Three Lakh Sixty  Thousand Five Hundred Five",22719,"Twenty Two Thousand Seven Hundred Nineteen",337786,"Three Lakh Thirty Seven Thousand Seven Hundred Eighty Six"
7,198-22-000007,01-Apr-2022,31-Mar-2023,"Operation and maintenance of street lighting system in ward no-198, (P-Thalaghattapura) Package R20 of Rajarajeshwari Nagar Zone for the Year 2021-22","o198 Hemmigepura","Executive Engineer (Electrical) Rajarajeshwari Nagar Zone","P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package)","022500 SRINIVASA ELECTRICAL",9945535032,,Running,000018,05-Apr-2022,000190,15-Mar-2023,000190,15-Mar-2023,,"           ","Under Process in Addl. Commr. Finance",426357,"Four Lakh Twenty Six Thousand Three Hundred Fifty Seven",25995,"Twenty Five Thousand Nine Hundred Ninety Five",400362,"Four Lakh Three Hundred Sixty Two"
8,198-22-000008,01-Apr-2022,31-Mar-2023,"Operation and maintenance of street lighting system in ward no-198,  (P-Pattanagere) Package R19 of Rajarajeshwari Nagar Zone for the Year 2021-22","o198 Hemmigepura","Executive Engineer (Electrical) Rajarajeshwari Nagar Zone","P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package)","026388 GEETHA ELECTRICAL ST",8088811101,,Running,000017,05-Apr-2022,000183,16-Feb-2023,000183,16-Feb-2023,,"           ","Under Process in Addl. Commr. Finance",360505,"Three Lakh Sixty  Thousand Five Hundred Five",23019,"Twenty Three Thousand Nineteen",337486,"Three Lakh Thirty Seven Thousand Four Hundred Eighty Six"
9,198-22-000007,01-Apr-2022,31-Mar-2023,"Operation and maintenance of street lighting system in ward no-198, (P-Thalaghattapura) Package R20 of Rajarajeshwari Nagar Zone for the Year 2021-22","o198 Hemmigepura","Executive Engineer (Electrical) Rajarajeshwari Nagar Zone","P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package)","022500 SRINIVASA ELECTRICAL",9945535032,,Running,000018,05-Apr-2022,000173,10-Feb-2023,000173,10-Feb-2023,,"           ","Under Process in Addl. Commr. Finance",385333,"Three Lakh Eighty Five Thousand Three Hundred Thirty Three",18121,"Eighteen Thousand One Hundred Twenty One",367212,"Three Lakh Sixty Seven Thousand Two Hundred Twelve"
10,198-22-000008,01-Apr-2022,31-Mar-2023,"Operation and maintenance of street lighting system in ward no-198,  (P-Pattanagere) Package R19 of Rajarajeshwari Nagar Zone for the Year 2021-22","o198 Hemmigepura","Executive Engineer (Electrical) Rajarajeshwari Nagar Zone","P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package)","026388 GEETHA ELECTRICAL ST",8088811101,,Running,000017,05-Apr-2022,000164,16-Jan-2023,000164,16-Jan-2023,,"           ","Under Process in Addl. Commr. Finance",360505,"Three Lakh Sixty  Thousand Five Hundred Five",24569,"Twenty Four Thousand Five Hundred Sixty Nine",335936,"Three Lakh Thirty Five Thousand Nine Hundred Thirty Six"
